# v4 region ring: NAMED vertices joined by straight lines (the polygon closes itself). SOURCE OF TRUTH.
# Rule (user, 2026-09-25): contain the NACCS Sandy peak +3 m water, connected from the ocean, with a margin;
# rivers are crossed where that water ends; neighbour basins with their own inlets (NY Upper Bay / Hudson,
# Jamaica Bay, Rehoboth Bay, the Chesapeake) are shut off at the declared lines in v4_crossings.geojson.
# Traced ONCE (logs/v4_design_2026-09-25/trace_ring_guide.py: 500 m net margin, gaps < ~10 km closed,
# 1 km straight-line tolerance); from here on it is EDITED BY HAND, and checked, never regenerated.
# Sections run: ocean south -> Delaware west shore -> C&D -> Wilmington -> PA -> Trenton -> NJ Delaware shore
# -> Cumberland -> NJ Atlantic inland -> Raritan -> Newark -> Hackensack -> Hudson route -> NY corner -> ocean.
name,lon,lat,note
hudson_route_05,-74.012,40.804,upper_bay_hudson_route (declared edge)
hudson_route_06,-74.0146,40.79,upper_bay_hudson_route (declared edge)
hudson_route_07,-74.0382,40.7592,upper_bay_hudson_route (declared edge)
hudson_route_08,-74.056,40.748,upper_bay_hudson_route (declared edge)
hudson_route_09,-74.076,40.724,upper_bay_hudson_route (declared edge)
hudson_route_10,-74.086,40.708,upper_bay_hudson_route (declared edge)
hudson_route_11,-74.096,40.7,upper_bay_hudson_route (declared edge)
hudson_route_12,-74.1,40.69,upper_bay_hudson_route (declared edge)
hudson_route_13,-74.106,40.679,upper_bay_hudson_route (declared edge)
hudson_route_14,-74.114,40.668,upper_bay_hudson_route (declared edge)
hudson_route_15,-74.1,40.66,upper_bay_hudson_route (declared edge)
hudson_route_16,-74.09,40.6545,upper_bay_hudson_route (declared edge)
hudson_route_17,-74.09,40.644,upper_bay_hudson_route (declared edge)
hudson_route_18,-74.08,40.639,upper_bay_hudson_route (declared edge)
hudson_route_19,-74.081,40.629,upper_bay_hudson_route (declared edge)
hudson_route_20,-74.077,40.619,upper_bay_hudson_route (declared edge)
hudson_route_21,-74.068,40.61,upper_bay_hudson_route (declared edge)
narrows_w,-74.0586,40.6021,narrows (forced)
narrows_e,-74.0294,40.6109,narrows (forced)
bk_bensonhurst,-74.018,40.617,Brooklyn option B (user 09-26): 500 m clear of the +3 m target
bk_gravesend,-73.982,40.614,
bk_midwood,-73.953,40.619,
bk_flatlands,-73.94,40.641,
bk_east_flatbush,-73.922,40.652,
jamaica_wall_n,-73.915,40.65,jamaica_bay_wall
jamaica_wall_mid,-73.912,40.6,jamaica_bay_wall
jamaica_wall_s,-73.902,40.58,jamaica_bay_wall + rockaway_inlet (forced) NE end
rockaway_2,-73.93,40.546,rockaway_inlet (forced)
rockaway_1,-73.94,40.53,rockaway_inlet (forced)
ocean_rockaway_s,-73.94,40.45,
ocean_ne,-73.55,40.45,
