lon,lat,depth_m,adcirc_id,stwave_id,match_dist_m,have
-73.964996,40.355699,10.669978,3763,,,adcirc_only
-74.064869,40.355763,1.118201,3531,,,adcirc_only
-73.97738,40.35951,2.721172,13732,,,adcirc_only
-74.0628,40.3596,1.096209,11538,,,adcirc_only
-73.971066,40.363544,3.284935,3764,,,adcirc_only
-73.975,40.365,0.483249,3566,,,adcirc_only
-73.975,40.365,0.483249,7439,,,adcirc_only
-73.964929,40.367514,9.907145,3765,,,adcirc_only
-74.05206,40.36801,3.534938,13738,,,adcirc_only
-73.97049,40.37058,6.71855,11519,,,adcirc_only
-73.97643,40.37153,2.680103,13733,,,adcirc_only
-74.03896,40.37247,2.108869,11537,,,adcirc_only
-74.015,40.376667,0.463259,7438,,,adcirc_only
-74.015,40.3767,0.471279,3547,,,adcirc_only
-73.971727,40.377252,3.994756,3766,,,adcirc_only
-73.98562,40.37882,0.231731,13734,,,adcirc_only
-74.02491,40.3799,3.059702,11536,,,adcirc_only
-73.964543,40.38123,10.189333,3767,,,adcirc_only
-73.9987,40.3827,1.756775,11535,,,adcirc_only
-73.9794,40.3835,3.240936,11528,,,adcirc_only
-74.00938,40.38597,1.253245,13735,,,adcirc_only
-74.00128,40.38706,0.249296,13736,,,adcirc_only
-73.9727,40.3895,4.429589,3568,,,adcirc_only
-73.9793,40.3906,2.365183,3562,,,adcirc_only
-73.97299,40.390938,3.832977,3768,,,adcirc_only
-73.961954,40.394793,9.511067,3769,,,adcirc_only
-73.97913,40.39664,2.365259,13737,,,adcirc_only
-73.980367,40.397408,2.240858,3560,,,adcirc_only
-73.97441,40.40096,3.515131,11520,,,adcirc_only
-73.974111,40.404632,2.535876,3770,,,adcirc_only
-73.9848,40.4067,3.580894,11544,,,adcirc_only
-73.956261,40.407806,9.803439,3771,,,adcirc_only
-73.9996,40.4112,3.68092,3555,,,adcirc_only
-73.98578,40.41183,1.300902,13740,,,adcirc_only
-74.00722,40.41258,1.53897,11545,,,adcirc_only
-73.99021,40.41379,5.216513,11527,,,adcirc_only
-73.99618,40.4148,1.567424,13739,,,adcirc_only
-74.0034,40.4151,3.639177,11543,,,adcirc_only
-74.012999,40.415857,4.551054,3772,,,adcirc_only
-73.978475,40.417919,4.309886,3773,,,adcirc_only
-74.035,40.4183,1.016743,3538,,,adcirc_only
-74.035,40.418333,0.942033,7434,,,adcirc_only
-74.02599,40.41947,0.3582,11546,,,adcirc_only
-74.029821,40.420414,1.214767,3774,,,adcirc_only
-73.950219,40.420532,10.163553,3775,,,adcirc_only
-74.001015,40.421125,2.33379,3776,,,adcirc_only
-74.0498,40.4223,1.468392,11569,,,adcirc_only
-74.06089,40.42257,0.308254,13749,,,adcirc_only
-73.99155,40.42301,-0.346949,13746,,,adcirc_only
-74.0067,40.4234,6.065603,11696,,,adcirc_only
-74.04019,40.42388,4.432541,11547,,,adcirc_only
-73.98945,40.42589,2.213322,13741,,,adcirc_only
-73.98089,40.42595,4.606384,11521,,,adcirc_only
-74.046058,40.426253,4.071219,3777,,,adcirc_only
-74.07181,40.42676,-0.494041,11581,,,adcirc_only
-73.99574,40.42689,1.82818,11526,,,adcirc_only
-74.22149,40.42825,1.0,11588,,,adcirc_only
-74.05574,40.43008,3.868562,11548,,,adcirc_only
-74.015,40.4306,6.653423,11697,,,adcirc_only
-73.981451,40.431442,3.892454,3778,,,adcirc_only
-74.085,40.431667,-0.919012,7433,,,adcirc_only
-74.08595,40.43218,-0.709618,11582,,,adcirc_only
-74.217518,40.432852,1.0,3497,,,adcirc_only
-74.07967,40.43305,1.724902,13748,,,adcirc_only
-74.069,40.4332,1.560844,11570,,,adcirc_only
-73.951153,40.434198,10.758987,3779,,,adcirc_only
-73.999551,40.434693,3.033138,3781,218,0.3,both
-74.08211,40.43584,4.038275,13747,,,adcirc_only
-74.058673,40.435974,3.922446,3782,,,adcirc_only
-74.0252,40.4365,6.242771,11698,,,adcirc_only
-74.20796,40.43724,0.671924,11587,,,adcirc_only
-74.28298,40.43742,-1.25,11594,,,adcirc_only
-74.198333,40.44,0.444642,7430,,,adcirc_only
-74.1983,40.44,0.419529,3502,,,adcirc_only
-74.10665,40.44004,-1.135272,11583,,,adcirc_only
-74.06744,40.4403,3.318016,11549,,,adcirc_only
-74.2792,40.4407,-1.25,11593,,,adcirc_only
-74.15268,40.44187,-2.18,11584,,,adcirc_only
-74.08936,40.44187,1.669693,11571,,,adcirc_only
-73.99329,40.44196,1.605519,13745,,,adcirc_only
-74.20001,40.44274,3.689776,11560,,,adcirc_only
-74.1034,40.4432,-0.031134,3522,,,adcirc_only
-73.981411,40.44514,3.651553,3784,,,adcirc_only
-74.0354,40.4452,6.16623,11699,,,adcirc_only
-73.99871,40.44545,4.559153,13744,,,adcirc_only
-74.07748,40.44615,4.390182,11550,,,adcirc_only
-74.22769,40.44632,-2.6,11589,,,adcirc_only
-74.068589,40.447117,3.595381,3786,,,adcirc_only
-73.949261,40.447824,9.632893,3788,225,0.5,both
-74.00394,40.447835,1.483757,3789,,,adcirc_only
-74.1914,40.4482,1.669674,11577,,,adcirc_only
-74.1433,40.4483,-1.296812,3509,,,adcirc_only
-74.143333,40.448333,-1.271247,7432,,,adcirc_only
-74.16473,40.44851,-0.935904,11585,,,adcirc_only
-74.0988,40.4498,4.77281,11551,,,adcirc_only
-73.9833,40.4499,0.642793,11522,,,adcirc_only
-74.27381,40.44999,-1.25,11592,,,adcirc_only
-74.11504,40.44999,1.348588,11572,,,adcirc_only
-73.9802,40.4509,8.74704,3561,,,adcirc_only
-74.085048,40.451547,4.159024,3790,,,adcirc_only
-74.19687,40.45156,3.307412,11559,,,adcirc_only
-74.1508,40.4516,1.020795,11574,,,adcirc_only
-74.099713,40.451941,4.196013,3791,,,adcirc_only
-74.1649,40.45209,1.06918,11575,,,adcirc_only
-74.2623,40.4524,-1.25,11595,,,adcirc_only
-74.21197,40.4527,1.662836,11578,,,adcirc_only
-74.20219,40.45305,2.972401,11561,,,adcirc_only
-74.1816,40.4535,-1.031537,11586,,,adcirc_only
-74.0427,40.4549,6.436505,11700,,,adcirc_only
-74.23844,40.45506,-1.25,11596,,,adcirc_only
-74.174324,40.456632,0.986877,3505,,,adcirc_only
-73.9956,40.4568,-1.877635,11542,,,adcirc_only
-74.111745,40.456917,4.170713,3793,,,adcirc_only
-74.2664,40.4573,-1.25,11591,,,adcirc_only
-74.15477,40.45733,3.101403,11555,,,adcirc_only
-74.11687,40.45742,3.638619,11552,,,adcirc_only
-74.2321,40.458,1.675715,11579,,,adcirc_only
-73.987487,40.458049,3.948734,3794,,,adcirc_only
-74.21739,40.45811,3.123954,11562,,,adcirc_only
-74.1892,40.4592,3.077202,11558,,,adcirc_only
